;Titile;Genre;Realease Date;Description;Cover Photo Url
96;Far Cry 4;Action;18 November 2014;The fourth installment of the extremely popular series of sandbox FPP action games. In accordance with the Ubisofts policy, the production was developed by several internal development studios led by Ubisoft Montreal and Ubisoft Shanghai. Once again players have the opportunity to assume the role of a protagonist forced to face numerous enemies and obstacles all by himself. At his disposal, however, is a considerable arsenal of firearms and melee weapons. The creators remained true to the well-proven gameplay scheme, allowing the gamers to explore vast locations and complete task with an unparalleled degree of freedom. On the technical side, Far Cry 4 fully employs the potential of the constantly improved Dunia Engine, providing high-quality audiovisuals and realistic physics.;https://cdn.gracza.pl/i/h/10/409098035.jpg
97;Thronebreaker: The Witcher Tales;RPG;23 October 2018;A combination of an RPG and a card game. It takes place in The Witcher saga universe created by Andrzej Sapkowski. The game started its life as a stand-alone story campaign for Gwent: The Witcher Card Game.;https://cdn.gracza.pl/i/h/10/515160437.jpg
98;Gothic II: Night of the Raven;RPG;22 August 2003;An official expansion to the second installment in the action RPG series - Gothic. The add-on expands Piranha Bytes' work by a new story chapter, loosely tied to the events depicted in the original story. The Nameless Hero needs to help the Water Mages in their quest to defeat Raven, a magnate known from the first Gothic, who aims to lay his hands on a mighty artifact called the Claw of Beliar, hidden away in the Temple of Adanos. This time you get to visit new locations, whereas the old ones were expanded by new secret places. The developers introduced a wide array of new missions, monsters, equipment, and non-player characters  including some known from the first installment. The progression system features new options and the gameplay difficulty was raised. Apart from further engine improvements, numerous bugs found in the base game were fixed.;https://cdn.gracza.pl/i/h/10/17881614.jpg
99;The Witcher;RPG;26 October 2007;An action RPG developed by CD Projekt RED and based on the series of short stories and novels by Andrzej Sapkowski. The story of the game is set in 1270, five years after the Northern War. After losing his memory, Geralt somehow returns to the Witcher keep Kaer Morhen. The stronghold soon gets ambushed by a group known as the Salamander... While in pursuit of the attackers, our protagonist becomes entangled in an intricate plot involving the Order of the Flaming Rose. In the course of our quest we visit a number of locations and encounter several characters known from the books. The developers created a sizable world that reacts dynamically to the actions of the main character. On the technical side, The Witcher uses a completely rebuilt version of Aurora Engine.;https://cdn.gracza.pl/i/h/10/1108547468.jpg
100;Path of Exile;RPG;23 October 2013;An online action RPG from Grinding Gear Games, a developer team from New Zealand. The action of Path of Exile is set in a fantasy world which was destroyed by a grand cataclysm. The players assume the role of exiles who try to survive in the dangerous continent of Wraeclast. The gameplay is focused on cooperation in teams of several players that traverse instance-based locations together. Each character can be developed choosing from more than 1300 skills. Visually, Path of Exile is inspired by the classics of the action RPG genre (Diablo, Sacred, and others), including the isometric camera. The game is free-to-play, but offers some additional facilities and items via optional micropayments.;https://cdn.gracza.pl/i/h/10/68125730.jpg
101;Far Cry Primal;Action;23 February 2016;A spin-off to the first person open world action game series launched by Ubisoft in 2004. Far Cry Primal strands significantly from the previous entries in the franchise, taking us back in time to the year circa 10 thousand B.C. We play as hunter named Trakkar, whose tribe has been slaughtered and who find himself in the dangerous land of Oros, where humans are nothing more than prey for prehistoric beasts. One of the most important features of the game is survival;
102;Fallout 3;RPG;28 October 2008;The third installment in the popular series of post-apocalyptic cRPGs. Bethesda Softworks, best known for The Elder Scrolls series, took the reins of the production. The main story arc focuses on the search for our characters father. During the journey, the main protagonist, called the Lone Wanderer, learns of Project Purity, which could provide water for the inhabitants of the Wasteland. The developers have designed several variants of the main campaign's end, depending on the choices made by the player. They remained faithful to the extensive system of characters attributes, S.P.E.C.I.A.L., known from the previous games in the Fallout series. The gameplay, however, is characteristic of action games, and features dynamic combat sequences. The three-dimensional visuals of Fallout 3 are generated by the Gamebryo engine.;https://cdn.gracza.pl/i/h/10/688076109.jpg
103;Stellaris;Strategy;09 May 2016;A real-time space strategy with RPG elements developed by Paradox Interactive  the creators of such renowned series as Europa Universalis or Crusader Kings. The game is played in a procedurally generated interstellar space, where your job is to build a galactic empire. A the beginning of the game you choose one of the 7 playable races that differ in appearance, skills, and ethics. The game focuses on exploration and expansion, giving you the choice to subdue other species by force or ally with them, using an advanced diplomacy system. Either way, the nations unwilling to engage in peace talks will have to be persuaded on the battlefield, where battle-hardened fleets serve as your envoys. The title offers three independent technological trees, allowing you to focus on developing your civilization's society, engineering, or physics, depending on your preferences.;https://cdn.gracza.pl/i/h/10/349104622.jpg
104;Need for Speed Carbon;Racing;01 November 2006;The tenth installment in the bestselling racing game series originally launched back in 1995. The game lets you play as the main protagonist of the previous game. He returns to his home city only to find his domestic street racing scene taken over by rivaling gangs. As you take on new racing challenges, you take back your home town one district at a time. The games mechanics employ the well-proven solutions introduced by its predecessors, while introducing several new elements at the same time. Those include, first and foremost, canyon duels, which require much attention, as it is possible to run through the traffic barriers and roll down the slope. The other novelty is the team;
105;Darksiders III;Action;27 November 2018;Darksiders 3 is the third installment in the popular action-adventure game series where we control a super-powered protagonist and face the forces of our enemies. In previous games, developed by Vigil Games, we played as two horsemen of the Apocalypse, War and Death. Darksiders III was developed by Gunfire Games, a studio made of developers who previously worked for Vigil Games. This time we play as a sorceress named Fury whose job is to reestablish the balance between the Good and Evil on Earth. In order to do so, she has to defeat the Seven Deadly Sins and their minions. Our heroine uses a spiked whip and magic. She can use the latter to take on various forms that grant her access to new weapons, moves, and abilities.  Combat, though arcade, is engaging and offers various attacks, combos, and powers. The game takes place in a post-apocalyptic open world where, along with fighting, we will have to solve various mysteries.;https://cdn.gracza.pl/i/h/10/323625197.jpg
106;Green Hell;Simulation;05 September 2019;A survival game, in which you find yourself stranded in the Amazon Jungle. To survive, you have not only to gather food and water, but also learn to light bonfires, hunt, craft useful equipment, and build shelters.;https://cdn.gracza.pl/i/h/10/508502015.jpg
107;Tom Clancy's The Division 2;Action;15 March 2019;The second installment in the popular action game series (with RPG elements) that revolve around multiplayer experience. Tom Clancy's The Division 2 is a result of cooperation between Ubisoft Massive and other development teams owned by the French publisher. The game is based on the modified Snowdrop Engine, thus the visuals are of very high quality.;https://cdn.gracza.pl/i/h/10/442170281.jpg
108;Need for Speed: Underground 2;Racing;12 November 2004;A sequel to Need for Speed: Underground, a best-selling 2003 game from Electronic Arts, which changed the shape of one of the most popular car racing franchises. The game takes you to a virtual metropolis that thrives after dark. For the first time in the history of the franchise, the city is completely open for exploration. As you ride around its streets you can challenge the drivers you meet on the way or learn more about the favorite locations of the street racing community. The gameplay mechanics did not change much;
109;Prey;Action;05 May 2017;An in-name-only sequel to a best-selling science-fiction FPS released in 2006. After many perturbations haunting the series, the development has been commissioned to Arkane Studios, the creators of the Dishonored series. Prey is not a continuation per se, but rather a peculiar reboot of the original 2006s installment of the game;
110;Dragon Age: Origins;RPG;03 November 2009;A classic cRPG developed by the famous Canadian studio BioWare  the creators of such iconic RPGs as Baldurs Gate, Neverwinter Nights, and Mass Effect. The game is set in a typical fantasy universe inhabited by several non-human races. Long ago, in response to a demonic Blight, the elite brotherhood of Grey Wardens is created to fight the spreading evil. Now, as the Blight returns under the reins of an arch-demon, you have to gather an army and personally take command of up to 4 characters to stop it once again. Gameplay is built around real-time combat with active pause and story quests, featuring many dialogues, interesting characters, and moral choices, whose consequences become evident later in the game. While playing, you can choose between the classic isometric view  typical of earlier BioWare games  and modern third person perspective.;https://cdn.gracza.pl/i/h/10/939204062.jpg
111;The Legend of Zelda: Breath of the Wild;Action;03 March 2017;Another installment in the popular action-adventure game series by Nintendo, and also the first game in the series for WiiU. In The Legend of Zelda: Breath of the Wild, you play once again as the main character of the franchise, Link, who gets involved in yet another exciting and dangerous adventure as he tries to learn what led to the downfall of the land of Hyrule. The gameplay is a combination of several genres: adventure, action RPG, and even survival. During the game, you explore the open world, solve puzzles and fight enemies;
112;The Cycle;Action;22 October 2019;An online FPS game set in a unique science-fiction universe. Twenty players compete against each other or cooperate while fighting wild beasts and gathering resources. The game was developed by the authors of Spec Ops: The Line and Dreadnought.;https://cdn.gracza.pl/i/h/10/417910437.jpg
113;Mafia II;Action;24 August 2010;A sequel to the popular gangster game - the first Mafia was released in 2002. This new title was developed by the creators of the original game  also known for games like Hidden & Dangerous and Vietcong  working for the 2K Games company. The second part tells a completely new story;
114;Crash Bandicoot N. Sane Trilogy;Arcade;30 June 2017;A bundle of first three Crash Bandicoot games, remastered by Vicarious Visions studio. Aside from modern visuals, all games feature rebuilt levels, as well as a new save system, which lets us use every control point along with quick save option. Whats more, they've received an unified menu and a Time Trial mode. Like in originals, Crash Bandicoot N. Sane Trilogy lets us take control of the titular bandicoot, who must stop the evil Dr Cortex from taking over the world. As the game is a classic three-dimensional platformer, gameplay focuses on completing linear levels, avoiding traps, and fighting enemies, which can be dealt with using a few attacks, like spinning or jumping on enemys head. We also collect Wumpa fruits that can earn us another life, as well as find secrets and collect Aku Aku masks that help us in our journey.;https://cdn.gracza.pl/i/h/10/1113234943.jpg
115;Diablo III: Reaper of Souls;RPG;25 March 2014;The first official expansion to the third installment in the cult hack-and-slash series, Diablo. The add-on, prepared by Blizzard Entertainment, supplements the main campaign with another, fifth, story act, in which Malthael, the Angel of Death, tries to use any means necessary to end the war between the divine creatures and demons. To this end, he decides to use the Black Soulstone that binds Diablos soul. Additionaly, the expansion introduces a new playable hero  the Crusader, as well as raises the character experience level cap to 70. Diablo III: Reaper of Souls introduces an overhauled loot system  rewards are now less frequent, but more powerful and better suited to your character class. Some changes are also visible in the game's visual style, which is now much more grim and darker than in the base game.;https://cdn.gracza.pl/i/h/10/332746092.jpg
116;Cities: Skylines;Strategy;10 March 2015;An economic strategy game belonging to the popular genre of city builders. This one was created by the Finnish studio Colossal Order, creators of the Cities In Motion series. The game is a response to the popular SimCity franchise from Maxis Studios. In contrast to the previous titles from the Finns, this one is not limited to public transportation, letting you build up a whole virtual metropolis from scratch. The game is set on maps providing 36 square kilometers of terrain each, where you can build your dream city and take care of its inhabitants by raising new buildings and creating transportation network. Economic aspect is the crucial element to the game  while playing, you have to keep an eye on the city budget, provided by your citizens' taxes, and establish trade contacts with neighboring cities. You also develop means of public transportation to help your citizens get around the city faster. The game features high quality 3D graphics and full mod support.;https://cdn.gracza.pl/i/h/10/161835593.jpg
117;Europa Universalis IV;Strategy;13 August 2013;The fourth installment in a highly popular strategic game franchise - Europa Universalis. The title was developed by Paradox Development Studio. In accordance with the tradition of the series, Europa Universalis IV lets you command and develop a chosen nation over the course of several centuries. This time the historical framework spans from 11 November 1444 to 2 January 1821. The gameplay is based on classic solutions of the 4X genre (explore, expand, exploit, and exterminate). The player has to manage his provinces, develop new technologies, command armies, and conduct diplomacy. Apart from AI enemies the game offers online multiplayer for up to 32 people.;https://cdn.gracza.pl/i/h/10/151926578.jpg
118;ARK: Survival Evolved;Action;29 August 2017;A sandbox survival simulator set in an open world, which draws inspiration from productions such as DayZ. Unlike in the aforementioned title, this time we fight against powerful prehistoric creature instead of zombies. The game is the debut of an independent studio called Wildcard, founded by a former employee of Microsoft Game Studios. The player begins the game defenseless and naked on an unidentified island, and his or her task is to survive in this new, harsh environment. In order to do that, we must hunt and gather various raw materials which will be used to create the much needed weapons and tools. One of the most fun aspects of ARK: Survival Evolved are the meticulously depicted creatures  the game features more than 60 species of dinosaurs and prehistoric mammals. Since the title features o multiplayer experience, meeting other players in the game world will happen and, depending on their attitude, we can fight them or establish valuable alliances.;https://cdn.gracza.pl/i/h/10/6888286.jpg
119;Assassin's Creed III;Action;30 October 2012;The third major entry in the action adventure game series, Assassin Creed. Assassin Creed III has been created by Ubisoft Montreal in cooperation with its subsidiaries. It continues the story of the conflict between the Assassin Brotherhood and the Templar Order. Most of events take place during the American War of Independence (1753-1783). The main character  Connor Kenway  is, once again, an ancestor of Desmond Miles. The half-blood Indian vows to fight tyranny and seek justice. The creators have skillfully implemented many historical figures and events to the story. As per Assassins Creed tradition, the gameplay takes place in an open-world environment, with players having a lot of freedom in completing tasks and exploration.;https://cdn.gracza.pl/i/h/10/1294760578.jpg
120;Grim Dawn;RPG;25 February 2016;A dark fantasy action RPG. Grim Dawn was developed by Crate Entertainment, a studio established by the former employees of Iron Lore, the creators of Titan Quest. The action takes place in the dark world of Cairn where a war fought between two mighty powers has driven the mankind to almost total extinction. The few remaining survivors inhabit small enclaves. We assume the role of a hero who possesses supernatural abilities and uses them to save the remains of the old Cairn. As befits a classical hack n slash game, the essence of the gameplay is spectacular combat with hordes of enemies. The single player campaign is complemented by the multiplayer that puts emphasis on player cooperation.;https://cdn.gracza.pl/i/h/10/336363552.jpg
121;Assassin's Creed: Syndicate;Action;23 October 2015;It is the ninth major installment in a best-selling action game series, this time developed by Ubisoft Quebec. After a brief affair with the French Revolution the developers decided to take players to 19th-century London of the Victorian era, giving them control of two characters: hot-headed young man named Jacob and his twin sister Evie. Although the game retains all of its key elements, gameplay mechanics went through some changes. The streets are full of carriages, which, just as in Grand Theft Auto series, can be hijacked and used to move around the city. Another essential element stems from the fact of leading Jacobs gang, and which, among other things, results in street brawls with opposing groups. The game faithfully recreates the topography of the capital city of England, so you can easily find and recognize such landmarks as Westminster Palace or St. Pauls Cathedral. The heroes also gained new weapons and gadgets as well as previously unseen abilities.;https://cdn.gracza.pl/i/h/10/503492025.jpg
122;The Witcher 3: Hearts of Stone;RPG;13 October 2015;The first large expansion to The Witcher 3: Wild Hunt, developed by the creators of the original game, Polish studio CD Projekt RED. The add-on is set in No Mans Land and the city of Oxenfurt, where Geralt the witcher gets entangled in a shadowy intrigue and encounters a mysterious Man of Glass. Hearts of Stone is more than a new subplot and missions, which provide for a dozen extra hours of gameplay - the players can also gain new useful items and meet interesting characters. Furthermore, the bestiary was expanded by a several previously unseen monsters.;https://cdn.gracza.pl/i/h/10/168585662.jpg
123;Metro 2033;Action;16 March 2010;A post-apocalyptic first-person shooter featuring RPG and survival horror elements, based on the bestselling book written by Dmitry Glukhovsky. It was the first game developed by 4A Games, a studio that consists of developers working previously on the S.T.A.L.K.E.R. series. The plot of the game takes place after a nuclear catastrophe that wiped out almost all life on Earth and made the natural environment irradiated and uninhabitable. The only survivors have formed a society, consisting of barely a few thousands of people, living hidden in the tunnels of the Moscow metro. The player assumes the role one of the young inhabitants of the tunnels  Artem, who must get to the central part of the tunnel system and inform other humans of a threat posed by the attacks of mutated monsters. During his journey Artem will face many dangers using a large array of weapons. The game us to choose our preferred combat style  direct confrontation or stealth attacks.;https://cdn.gracza.pl/i/h/10/1021668609.jpg
124;DiRT Rally 2.0;Racing;26 February 2019;DiRT Rally 2.0 is the next installment of the best-selling racing game series, which allows you to take part in rallies. The game was prepared by the British studio Codemasters, which has been developing the series since its inception.;https://cdn.gracza.pl/i/h/10/167517500.jpg
125;Total War: Rome II;Strategy;03 September 2013;A grand-scale strategy game developed by British studio Creative Assembly. Total War: Rome II lets players become leaders of the nations of antiquity from the Roman Empire period and struggle for dominance over new territories. Like the past Total War games (e.g. Total War: Shogun 2 and Empire: Total War) gameplay combines turn-based and real-time activities. Your task is to manage you provinces and command armies. The games highlight are the spectacular battles of armies fielding thousands of units. The developers of Total War: Rome II carefully kept to historical truth when it comes to battle formations, weaponry, and tactics. High-quality graphics was achieved thanks to a modified version of the Warscape Engine.;https://cdn.gracza.pl/i/h/10/502329677.jpg
126;Spider-Man;Action;07 September 2018;An open world action-adventure game developed by Insomniac Games. The player assumes the role of the titular Spider-Man who faces the criminal underworld of New York. The gameplay is based on three pillars. The first one is exploration. The second one is completing various main and side missions. The protagonist is a superhero that can crawl and run across walls and use his web to swing on long distances. The acrobatic abilities of Spider-Man are used during Quick Time Events, special scenes with spectacular actions during which the player must press specific buttons with the right timing. The third pillar of the game is combat  during the dynamic fights the protagonist uses his fists, legs, spider web and elements of the environment  he can for example throw the latter at opponents or he can pin an opponent to a wall using his web. The game features stealth sequences as well  the player might sneak past enemies or eliminate them undetected. The title features high-quality graphics. It looks even better on PlayStation 4 Pro, where it is generated in higher resolution.;https://cdn.gracza.pl/i/h/10/9523174.jpg
127;Diablo II;RPG;29 June 2000;A sequel to one of the biggest hits by Blizzard Entertainment. The plot of Diablo II follows the events of the first installment. The victory over Diablo turned out to be merely an illusion. Having possessed the body of his conqueror, Aidan, Diablo plans to unleash his brothers  Mefisto and Baal  with the purpose of enslaving the human kind once and for all. The players objective is to thwart the demons dreadful plans. The mechanics are very similar to those featured in the first part of Diablo  the game still emphasizes dynamic hack-n-slash combat as well as skill and psycho-physical attribute development by gaining experience points. The visuals in Diablo II combine 2D and 3D elements and the soundtrack was composed by Matt Uelmen.;https://cdn.gracza.pl/i/h/10/1890607687.jpg
128;Stardew Valley;RPG;26 February 2016;The debut production from the independent studio Concerned Ape. It is a sandbox RPG that focuses on the life of a farmer. Stardew Valley takes place in a fantasy realm filled with magic, where the player becomes a young farmer whose ambition is to transform his small field into a giant farm generating great profits. The main task of the player is to plant plants, gather the crops and expand the farm with new infrastructure and agricultural products. In order to be more interesting, the game also feature some RPG elements. One can also take active role in the life of the nearby village  make friendships and interact with the inhabitants of the settlement. This unlocks new challenges and earning opportunities for the player. As the game progress, the protagonist gains experience and learns new skills such as farming, mining, fishing, or animal feeding. One can also get married and have children in this randomly generated world.;https://cdn.gracza.pl/i/h/10/343668049.jpg
129;Battlefield 1;Action;21 October 2016;Another full-fledged installment in one of the most popular series of war shooters played from the first-person view and developed since 2002, as the effect of cooperation between Electronic Arts and DICE. With its flamboyant title, Battlefield 1 introduces the series to the realities of the First World War. The story campaign depicts this global conflict through the eyes of several independent characters, who participate in twentieth-century's first modern military conflict. When it comes to the gameplay itself, the game reaches back to the roots of the franchise, offering larger, open maps and giving a great deal of freedom when it comes to approaching different objectives. Simultaneously, the single-player mechanics were significantly modified, in order for these to resemble the specifics of the multiplayer mode, which allows even up to 64 players to meet in one session. The new time period does not bring only the adequate weaponry and vehicles (planes, tanks, warships), but also makes it necessary to apply a different approach to combat - for instance, battles have become more brutal and a greater emphasis was placed on melee combat.;https://cdn.gracza.pl/i/h/10/600245218.jpg
130;Surviving Mars;Strategy;15 March 2018;A science fiction economic strategy game developed by Haemimont Games and published by Paradox Interactive. The title is a city builder in which the player must design the first human settlement on Mars. Being a manager of a space colony requires the player to take care of many matters - the survival and well being of the colony inhabitants depend on it. The colonists wont survive for long without access to oxygen and water, and the advanced technology of the colony requires a steady supply of energy. What makes things even harder is the fact that the systems constructed by the player can be broken by environmental conditions: the water tanks can freeze and the solar panels can be deactivated by a sandstorm. Additionally, the agency that sponsored the whole mission has specific requirements  if the player had chosen a profit-driven corporation as a sponsor, then he must remember to create a mine for valuable resources and a system that will transport these resources to Earth. Each inhabitant of the colony is a unique character with specific traits and parameters impacted by his living conditions. A happy colonist can decide to have children while a constantly stressed worker will grow psychical traumas. The title is a sandbox which is partially unpredictable due to the mysteries  events and scenarios inspired by classic science fiction tropes.;https://cdn.gracza.pl/i/h/10/96540797.jpg
131;Dishonored 2;Action;11 November 2016;A sequel to a best-selling FPP stealth game set in a universe that combines stylistics of the late Victorian era with steampunk elements. The title is a result of cooperation between Arkane Studios and the games publisher  Bethesda company. The sequels main heroine is Emily Kadwin, the daughter of the murdered empress, who joins forces with the empress former bodyguard Corvo, the protagonist of the previous game. The girl tries to reclaim the lost crown and take revenge on all responsible for the death of her mother. Gameplay mechanics did not change much, so you still are offered much freedom in the way you reach the games objectives. Depending on your preferences, you may either use stealth approach or engage in open conflicts. The game can be completed as either of the two heroes, whereas each one has slightly different abilities and fighting style. Just like the previous game, Dishonored 2 contains only single player gameplay with no cooperation mode.;https://cdn.gracza.pl/i/h/10/358225563.jpg
132;L.A. Noire;Adventure;17 May 2011;A noir detective action adventure game developed by the Australian studio Team Bondi in cooperation with the veterans from Rockstar Games. The game invites you into Los Angeles of the 1940s, a city filled with corruption and drug dealing organizations. You assume the role of Cole Phelps, an ex-soldier who becomes a police officer after the war. The game lets you experience the key moments of Coles career, starting from the traffic police all the way through murder and drugs department. Gameplay is mainly about examining crime scenes in search of clues and evidence, as well as interrogating witnesses and suspects. The game also offers multiple action sequences, including pursuits (either on foot or by car), fist fights, and spectacular shootouts. When it comes to graphics, the most noteworthy feature are the realistic face expressions that allow you to judge the reactions of interogatees. The game overflows with a noir atmosphere characteristic of the 1940 and 50 movies.;https://cdn.gracza.pl/i/h/10/350731064.jpg
133;Max Payne 3;Action;15 May 2012;The third installment in a series of action-packed TPP shooters with persisting noir movie atmosphere. Max Payne 3 was developed by Rockstar Games, who took over the franchise from Remedy Entertainment. The game is set some years after the events presented in the second part of the series. Max Payne, an ex-officer of the New York Police, is forced to accept a job as a bodyguard for an influential family in Sao Paulo, Brazil. Seemingly trivial job soon turns into a vicious struggle for survival. The creators of Max Payne 3 aimed to retain the atmosphere characteristic for the first two games. There is also the series trademark feature  bullet-time (slow-motion sequences). At the same time, combat mechanics was overhauled, focusing around a newly introduced cover system.;https://cdn.gracza.pl/i/h/10/334548593.jpg
134;Call of Duty: Modern Warfare 2;Action;10 November 2009;A sequel to the 2007s Call of Duty 4: Modern Warfare and the sixth major entry in the Call of Duty franchise. It was developed by Infinity Ward, a subsidiary of Activision. The players witness the continuing struggle against Russian ultranationalists whose actions resulted in a war against the United States. Similarly to the previous game, the story campaign of Call of Duty: Modern Warfare 2 is linear and the numerous in-game events follow a predetermined course. Available missions let the players assume the role of several playable characters and visit different corners of the globe. As befits an FPS, the gameplay is based on dynamic shooting sequences. One of the games strong points is the extensive multiplayer mode.;https://cdn.gracza.pl/i/h/10/940857234.jpg
135;Tom Clancy's Ghost Recon: Wildlands;Action;07 March 2017;The next installment in an action game series that originated in 2001. The series focuses on a famous American special squad known from the novels by Tom Clancy. The game was produced by a Parisian subsidiary of the Ubisoft company, also responsible for the previous installment, Future Soldier. The game is set in Bolivia, where a dangerous drug cartel spreads terror, violence, and lawlessness, unrestrained by the corrupted government authorities. Ghost Recon squad is sent into action in order to eliminate the key members of the criminal organization. Wildlands is revolutionary for the series, as it is the first time in the franchise's history when it takes the players into a vast, open world, which can be traversed on foot or by various vehicles  ground, aerial, or naval  resembling such franchises as Far Cry or Just Cause. The game was designed with both single player gameplay and multiplayer co-op for up to 4 players in mind.;https://cdn.gracza.pl/i/h/10/166364271.jpg
136;Middle-earth: Shadow of Mordor;Action;30 September 2014;"A TPP action game set in J.R.R. Tolkien's Middle-earth. Middle-earth: Shadow of Mordor was developed by Monolith Productions, the creators of Aliens vs Predator 2 and F.E.A.R.: First Encounter Assault Recon. The plot takes place before the events depicted in ""The Lord of the Rings"". In the main campaign, players assume the role of Talion, a ranger who is raised from the dead by an ancient spirit of vengeance in order to take bloody revenge on the servants of Sauron for the death of his loved ones. The core of the game consists of spectacular battles with large groups of enemies, during which you can use a rich variety of ranged and melee attacks, as well as dodges. The audiovisual aspects of the game were modeled after the cinematic saga by Peter Jackson.";https://cdn.gracza.pl/i/h/10/326195625.jpg
137;Battlefield 4;Action;29 October 2013;Fourth main entry in the bestselling FPS series created and developed by the EA DICE team. The solo campaign shows a vision of military conflict between the United States, Soviet Union, and China. The story takes place in 2020 on the territory of the Peoples Republic of China. Player takes on the role of a member of the US Marine Tombstone Squad, which is given the task of rescuing several high-ranked officials from the unsettled Shanghai. The strongest point of the game are its complex multiplayer skirmishes, allowing us to take part in online battles for up to 64 players. Developers made sure to offer a wide selection of game modes and maps with varied terrain and sizes.;https://cdn.gracza.pl/i/h/10/331158375.jpg
138;The Elder Scrolls Online: Tamriel Unlimited;RPG;04 April 2014;A MMORPG set in The Elder Scrolls universe. The Elder Scrolls Online was created by the more than 250-people-strong team of ZeniMax Online Studios. The game is set 1,000 years before the events of The Elder Scrolls V: Skyrim. House of Thern wants to reclaim its former power and strikes a deal with the necromancer Mannimarco. Little do they know of his pact with the demonic prince Molag Bal, who wants to take over the world. The player's character can side with one of three major factions (Ebonheart Pact, Aldmeri Dominium, and Daggerfall Covenant), as well as join numerous minor organizations, such as mages guild, fighters guild, or the thieves guild. Gameplay combines elements well-known to TES fans and features typical MMORPG mechanics.;https://cdn.gracza.pl/i/h/10/415792850.jpg
139;Mad Max;Action;01 September 2015;A TPP sandbox action game, based on the cult film franchise by George Miller. The production was developed by Swedish studio Avalanche in collaboration with Warner Bros. Interactive. The plot of Mad Max is not an adaptation of the blockbuster movie, presenting instead a completely separate story set in a post-apocalyptic world in the near future. Players get an opportunity to assume the role of the titular character. After losing his legendary V8 Interceptor, the hero traverses the wasteland in search of parts needed to construct a new vehicle. The creators provided the players with a large degree of freedom when it comes to exploration of the game world;
140;Wolfenstein: Youngblood;Action;26 July 2019;A Wolfenstein spin-off created by MachineGames. This time around, the game focuses on B. J. Blazkowicz's daughters. The twin sisters Sophie and Jessica get to Nazi-occupied Paris in order to aid the local resistance. Unlike the previous installments, apart from the single-player mode, the game introduces also the cooperative experience.;https://cdn.gracza.pl/i/h/10/363448531.jpg
141;The Legend of Zelda: Link's Awakening;Arcade;20 September 2019;The Legend of Zelda: Link's Awakening is a remake of a classic action adventure game from 1993. The project reproduces the content of the original, with improvements limited to control and audio-visual setting. Player explores the world, solves puzzles and fights enemies.;https://cdn.gracza.pl/i/h/10/424804609.jpg
142;Mortal Kombat 11;Fighting;23 April 2019;The eleventh part of the best-selling series of brutal fighting games. Mortal Kombat 11 uses a new graphic engine;
143;Red Dead Redemption;Action;18 May 2010;The second game in the Rockstar Games Wild West video game franchise that began with 2004 release of the successful Red Dead Revolver for sixth generation consoles. Red Dead Redemption tells a completely new, independent story set at the beginning of the 20th century. This time, you play as an outlaw named John Marston. Trying to find his place in the quickly changing reality of the Wild West, he gets entangled into a complex intrigue, which involves cowboys, native americans, and big-shot industrialists. As you play, you get to explore the vast open world, similar in structure to what we know from Grand Theft Auto series, and undertake a series of story missions and numerous side quests. The game features all the famous Wild West hallmarks, including horse chases and showy duels. Thanks to the RAGE engine, known from GTA IV, it was possible to create a true frontier experience with many distinctive locations and characters, multitude of wildlife, dynamically changing weather, and a day and night cycle.;https://cdn.gracza.pl/i/h/10/525690063.jpg
144;Hitman 2;Action;13 November 2018;Another entry in the popular series of action games, in which the players assume the role of the assassin for hire known as Agent 47. In Hitman 2, the protagonist is chasing the mysterious client. 47 must eliminate the target and destroy his criminal network. The game takes the players on a journey to various parts of the world, including tropical forests and Miami. In addition to a story campaign, the game features a cooperation multiplayer mode.;https://cdn.gracza.pl/i/h/10/361599671.jpg
145;Sniper Elite 4;Action;14 February 2017;The fourth major installment in the popular tactical first-person shooter series by Rebellion, in which we assume the role of a trained sniper fighting on various fronts of the World War II. In Sniper Elite 4, we control Karl Fairburne, the protagonist of the previous games, who is sent from North Africa to the Apennine Peninsula. His mission is to cooperate with the Italian resistance in order to help the Allied forces that are pushing to the north. As far as gameplay mechanics are concerned, the game develops the ideas of its predecessor, and our task is to efficiently eliminate subsequent targets;
146;Sherlock Holmes: The Devil's Daughter;Adventure;10 June 2016;The ninth major installment in the action adventure game series developed by Frogwares, dealing with the exploits of the world most famous sleuth. The plot, as per tradition, takes us to the streets of the Victorian-era London, where Sherlock Holmes and his inseparable companion, Dr. Watson, have to solve five all-new crime puzzles, in which they face, among others, dark family secrets and mysterious cults. In terms of gameplay mechanics, Sherlock Holmes: The Devil's Daughter follows the direction set by three previous installments of the series, combining elements typical to adventure games with sequences characteristic of action games. In accordance with modern standards, the game offers also the option to move freely through the streets of London and a non-linear storyline that changes dynamically depending on the player's choices. The game features visuals created for the next-generation consoles, which makes it the most visually impressive installment in the series so far.;https://cdn.gracza.pl/i/h/10/493596429.jpg
